region,continent,population
Afghanistan,Indian Subcontinent,38928341
Albania,Eastern Europe,2877800
Algeria,Africa,43851043
Andorra,Eastern Europe,77265
Angola,Africa,32866268
Antigua and Barbuda,Latin America,97928
Argentina,Latin America,45195777
Armenia,Eurasia,2963234
Australia,Australasia,25499881
Austria,Western Europe,9006400
Azerbaijan,Eurasia,10139175
Bahamas,Latin America,393248
Bahrain,Middle East,1701583
Bangladesh,Indian Subcontinent,164689383
Barbados,Latin America,287371
Belarus,Eastern Europe,9449321
Belgium,Western Europe,11589616
Belize,Central America,397621
Benin,Africa,12123198
Bhutan,Indian Subcontinent,771612
Bolivia,Latin America,11673029
Bosnia and Herzegovina,Eastern Europe,3280815
Botswana,Africa,2351625
Brazil,Latin America,212559409
Brunei,Australasia,437483
Bulgaria,Eastern Europe,6948445
Burkina Faso,Africa,20903278
Burma,Australasia,54409794
Burundi,Africa,11890781
Cabo Verde,Africa,555988
Cambodia,East Asia,16718971
Cameroon,Africa,26545864
Canada,North America,37742157
Central African Republic,Africa,4829764
Chad,Africa,16425859
Chile,Latin America,19116209
China,East Asia,1439323774
Colombia,Latin America,50882884
Comoros,Africa,869595
Congo (Kinshasa),Africa,89561404
Costa Rica,Central America,5094114
Cote d'Ivoire,Africa,26378275
Croatia,Eastern Europe,4105268
Cuba,Latin America,11326616
Cyprus,Western Europe,1207361
Czechia,Eastern Europe,10708982
Denmark,Northern Europe,5792203
Djibouti,Africa,988002
Dominica,Latin America,71991
Dominican Republic,Latin America,10847904
Ecuador,Latin America,17643060
Egypt,Africa,102334403
El Salvador,Central America,6486201
Equatorial Guinea,Africa,1402985
Eritrea,Africa,3546427
Estonia,Northern Europe,1326539
Eswatini,Africa,1160164
Ethiopia,Africa,114963583
Fiji,Australasia,896444
Finland,Northern Europe,5540718
France,Western Europe,65273512
Gabon,Africa,2225728
Gambia,Africa,2416664
Georgia,Eurasia,3989175
Germany,Western Europe,83783945
Ghana,Africa,31072945
Greece,Western Europe,10423056
Grenada,Latin America,112519
Guatemala,Central America,17915567
Guinea,Africa,13132792
Guinea-Bissau,Africa,1967998
Guyana,Latin America,786559
Haiti,Latin America,11402533
Holy See,Western Europe,809
Honduras,Central America,9904608
Hungary,Eastern Europe,9660350
Iceland,Northern Europe,341250
India,Indian Subcontinent,1380004385
Indonesia,Australasia,273523621
Iran,Middle East,83992953
Iraq,Middle East,40222503
Ireland,Northern Europe,4937796
Israel,Middle East,8655541
Italy,Western Europe,60461828
Jamaica,Latin America,2961161
Japan,East Asia,126476458
Jordan,Middle East,10203140
Kazakhstan,Eurasia,18776707
Kenya,Africa,53771300
"Korea, South",East Asia,51269183
Kuwait,Middle East,4270563
Kyrgyzstan,Eurasia,6524191
Laos,East Asia,7275556
Latvia,Northern Europe,1886202
Lebanon,Middle East,6825442
Lesotho,Africa,2142252
Liberia,Africa,5057677
Libya,Africa,6871287
Liechtenstein,Western Europe,38137
Lithuania,Northern Europe,2722291
Luxembourg,Western Europe,625976
Madagascar,Africa,27691019
Malawi,Africa,19129955
Malaysia,Australasia,32365998
Maldives,East Asia,540542
Mali,Africa,20250834
Malta,Western Europe,441539
Mauritania,Africa,4649660
Mauritius,Africa,1271767
Mexico,Central America,128932753
Moldova,Eastern Europe,4033963
Monaco,Western Europe,39244
Mongolia,East Asia,3278292
Montenegro,Eastern Europe,628062
Morocco,Africa,36910558
Mozambique,Africa,31255435
Namibia,Africa,2540916
Nepal,East Asia,29136808
Netherlands,Western Europe,17134873
New Zealand,Australasia,4822233
Nicaragua,Central America,6624554
Niger,Africa,24206636
Nigeria,Africa,206139587
North Macedonia,Eastern Europe,2083380
Norway,Northern Europe,5421242
Oman,Middle East,5106622
Pakistan,Indian Subcontinent,220892331
Panama,Central America,4314768
Papua New Guinea,Australasia,8947027
Paraguay,Latin America,7132530
Peru,Latin America,32971846
Philippines,Australasia,109581085
Poland,Eastern Europe,37846605
Portugal,Western Europe,10196707
Qatar,Middle East,2881060
Romania,Eastern Europe,19237682
Russia,Eastern Europe,145934460
Rwanda,Africa,12952209
Saint Kitts and Nevis,Latin America,53192
Saint Lucia,Latin America,183629
Saint Vincent and the Grenadines,Latin America,110947
San Marino,Western Europe,33938
Sao Tome and Principe,Africa,219161
Saudi Arabia,Middle East,34813867
Senegal,Africa,16743930
Serbia,Eastern Europe,8737370
Seychelles,Africa,98340
Sierra Leone,Africa,7976985
Singapore,Australasia,5850343
Slovakia,Eastern Europe,5459643
Slovenia,Eastern Europe,2078932
Somalia,Africa,15893219
South Africa,Africa,59308690
South Sudan,Africa,11193729
Spain,Western Europe,46754783
Sri Lanka,Indian Subcontinent,21413250
Sudan,Africa,43849269
Suriname,Latin America,586634
Sweden,Northern Europe,10099270
Switzerland,Western Europe,8654618
Syria,Middle East,17500657
Taiwan*,East Asia,23816775
Tajikistan,Eurasia,9537642
Tanzania,Africa,59734213
Thailand,East Asia,69799978
Timor-Leste,Australasia,1318442
Togo,Africa,8278737
Trinidad and Tobago,Latin America,1399491
Tunisia,Africa,11818618
Turkey,Eurasia,84339067
Turkmenistan,Eurasia,6031187
Uganda,Africa,45741000
Ukraine,Eastern Europe,43733759
United Arab Emirates,Middle East,9890400
United Kingdom,Western Europe,67886004
Uruguay,Latin America,3473727
US,North America,331002647
Uzbekistan,Eurasia,33469199
Venezuela,Latin America,28435943
Vietnam,Australasia,97338583
West Bank and Gaza,Middle East,5101416
Western Sahara,Africa,597330
Yemen,Middle East,29825968
Zambia,Africa,18383956
Zimbabwe,Africa,14862927
